n_proyecto,direccion,cui,intervenciones,presupuesto_estimado,presupuesto_final,estado,subestado,fuente,pase_dgar,inicio_obra,plazo_obra,ampliacion_de_plazo,avance_de_obra,fin_obra,expediente,eje
x215,itaqui 2050 / charrua 2850,0200856,"Instalacion electrica, termo, patio (arreglo de sus carpintrerias y muros), fachadas, sellado de lucarnas y pintura",-,NA,En Proyecto,en proyecto,f11,30/12/2023,28/04/2024,330,x,NA,24/3/2025,NA,mejora edilicia
x216,mariano acosta 2936,0200873,Plan mejora de  patio+ inst gas-calefaccion + cubierta  y reparacion de revoques y pintura en areas significativas,NA,NA,Planificado,proximo a iniciar proyecto,f11,18/4/2024,16/8/2024,240,NA,NA,13/4/2025,NA,mejora edilicia
x217,varela 1802   -daom,0200892,Instalacion de gas,NA,24728114,Fracasado,fracasada r,f11,6/7/2023,3/11/2023,120,NA,NA,2/3/2024,ex-2023-24666844- -gcaba-dginfe,mejora edilicia
x217,varela 1802   -daom,0200892,Instalacion de gas,NA,38186303,Licitación,licitación,f11,29/9/2023,15/01/2024,120,NA,NA,14/5/2024,ex-2023-35861489- -gcaba-dginfe,mejora edilicia
x218,magariños cervantes 5068- sala tableros,0200832,Construccion de sala de tableros para edesur,-,5527663,Licitación,licitación,f11,15/8/2023,15/11/2023,60,NA,NA,14/1/2024,ex-2023-28445232- -gcaba-dginfe,mejora edilicia
x219,riobamba 623,0200023,NA,NA,NA,Finalizado,finalizado,f11,-,-,-,NA,NA, - ,NA,mejora edilicia
x220,carlos calvo 3176,0200328,"Plan mejora adecuacion aulas, revoques y carpinteria   + inst electrica  y pintura en areas significativas + accesibilidad plena - . intervención integral en baños.",-,NA,En Proyecto,en proyecto,f11,22/01/2024,21/05/2024,300,x,NA,17/3/2025,NA,mejora edilicia
x221,murguiondo 1568,0200642,"Plan mejora en   adecuacion  patio, inst gas-calefaccion ,electricidad  y  pintura en areas significativas",-,NA,Planificado,a iniciar proyecto,f11,11/1/2025,11/05/2025,270,NA,NA,5/2/2026,NA,mejora edilicia
x222,humberto 1° 343,0200186,"Plan mejora de inst gas-calefaccion + cubierta , instalacion electrica, adecuacion sanitarios, reparacion revoques y pintura en areas significativas",-,NA,En Proyecto,en proyecto,f11,9/2/2024,8/6/2024,270,NA,NA,5/3/2025,NA,mejora edilicia
x223,franco 2390,0200759,Plan mejora de  fachada+ patio+ carpinteria + sanitario + inst gas + inst electrica+ sanitario+ cubierta + revoques y pintura en areas significativas,-,NA,Planificado,a iniciar proyecto,f11,18/10/2024,15/02/2025,300,NA,NA,12/12/2025,NA,mejora edilicia
x224,miguel sanchez 1050,0200523,"Plan mejora en   adecuacion   inst electrica, gas  , patio , muros ,carpinteria, sanitarios, cubierta  y  pintura en areas significativas",-,NA,Planificado,a iniciar proyecto,f11,14/03/2024,12/07/2024,210,NA,NA,7/2/2025,NA,mejora edilicia
x225,w villafañe 1342,0200197,"Plan mejora en   adecuacion   inst electrica , patio , muros ,carpinteria, sanitarios, cubierta  y  pintura en areas significativas",NA,NA,Planificado,a iniciar proyecto,f11,NA,Sin fecha de inicio,Sin plazo,NA,NA, - ,NA,mejora edilicia
x226,av. lope de vega 2150,0200831,NA,NA,NA,Planificado,a iniciar proyecto,f11,NA,Sin fecha de inicio,Sin plazo,NA,NA, - ,NA,mejora edilicia
x227,jose aaron salmun feijoo 1073,0200190,Plan mejora de patio + adecuacion pisos de madera+ muro con humedades+ carpinteria +prov agua+  inst electrica + y pintura en areas significativas. accesibilidad23,NA,NA,En Proyecto,en proyecto,f11,22/1/2024,21/5/2024,360,NA,NA,16/5/2025,NA,mejora edilicia
x228,braun menendez 260/manuel galvez 156,0200177,"Impermeabilización de azoteas. reparación de carpinterías existentes del primer piso con problemas de oxidación. pintura de rejas en planta alta, nivel a y b. reparaciones en fachadas de patio interno en planta baja:pintura y limpieza. intervención de solados – mal estado. demolición de mesadas en dos aulas del nivel inicial. provisión y colocación de bicicletero en el acceso del edificio. trabajos varios de jardinería en canteros. accesibilidad: provisión y colocación de ascensor para comunicar la planta baja y primer piso. ejecución de rampa para salvar un desnivel entre primer piso y la azotea.",NA,NA,Planificado,a iniciar proyecto,f11,17/10/2024,14/2/2025,300,NA,NA,11/12/2025,NA,mejora edilicia
x229,nahuel huapi 5740,0200745,"Adecuacion  inst  gas-calefaccion, patio , muros ,cubierta, acesibilidad basica, pintura  + salida independiente para inicial",NA,NA,Planificado,proximo a iniciar proyecto,f11,28/4/2024,26/8/2024,270,NA,NA,23/5/2025,NA,mejora edilicia
x230,moreno 2135,0201501,Patios + muros+carpinterias+   inst electrica y pintura en areas significativas y evaluar posible crecimiento aulico. catalogacion?,NA,NA,Planificado,a iniciar proyecto,f11,20/11/2024,20/3/2025,300,NA,NA,14/1/2026,NA,mejora edilicia
x231,paseo colon 650,0200195,"Accesibilidad. pintura. impermeabilización en sector de aulas. instalación eléctrica: terminar obra rescindida de instalación eléctrica de talleres. termo
. Terminar la obra eléctrica rescindida (instalación eléctrica de los talleres). adecuación de instalación de gas. instalación sanitaria (vestuariso)",-,1400000000,En Proyecto,en proyecto,f11,11/2/2024,10/6/2024,450,NA,NA,3/9/2025,NA,mejora edilicia
x232,la pampa 1240,0200479,"Plan mejora en   adecuacion fachada,  inst electrica , patios, fisuras , muros ,carpinteria , cubierta, sanitarios, cocina , reparacion de revoques y   pintura en areas significativas  // chequear catalogacion",NA,230000000,Planificado,a iniciar proyecto,f11,14/10/2024,11/2/2025,240,NA,NA,9/10/2025,NA,mejora edilicia
x233,guemes 3859,0200101,"Plan mejora edif historica adecuacion  inst electrica , gas-calefaccion patio , cubierta , reparacion revoques y pintura en areas significativas",NA,NA,Planificado,a iniciar proyecto,f11,NA,Sin fecha de inicio,Sin plazo,NA,NA, - ,NA,mejora edilicia
x234,riestra 5030,0200949,"Plan mejora en   adecuacion   cocina , comedor ,  cubierta  y reparacion revoques y pintura en areas significativas + evaluacion estado polideportivo.",NA,NA,Planificado,a iniciar proyecto,f11,9/5/2024,06/09/2024,300,NA,NA,3/7/2025,NA,mejora edilicia
x235,bruix 4620,0200640,"Adecuación de la instalación eléctrica. acondicionamiento de sanitarios. puesta en valor de carpinterías, parasoles y rejas. fisuras: reparación de mampostería y fisuras en aulas. patios: solados, muros, humedad ascendente. arreglo integral de patio de aire y luz. pintura general.",-,281250000,En Proyecto,en proyecto,f11,14/12/2023,12/4/2024,210,NA,NA,8/11/2024,NA,mejora edilicia
x236,libertador 4903,0200461,Adecuacion de fachada+  patios + muros+carpinterias+   inst electrica + inst gas-calefacc y pintura en areas significativas evaluar posible mejora en pileta -instalaciones-. catalogación.,NA,NA,Planificado,a iniciar proyecto,f11,20/9/2024,18/01/2025,360,NA,NA,13/01/2026,NA,mejora edilicia
x237,obispo san alberto 2379,0200763,"Plan mejora edif historico adecuacion fachada+ patio+ cielorraso+ carpinteria+ inst gas-calefaccion + inst electrica + acond sanitarios y prov de agua , reparacion revoques y pintura en areas significativas +accesibilidad plena",NA,NA,Planificado,a iniciar proyecto,f11,30/05/2024,27/09/2024,300,NA,NA,24/7/2025,NA,mejora edilicia
x239,giribone 1961,0200685,"Plan mejora edilicia adecuacion patio, muro, carpinteria, cubierta  cubierta y  pintura en areas significativas + adecuacion gimnasio",NA,NA,Planificado,a iniciar proyecto,f11,NA,Sin fecha de inicio,Sin plazo,NA,NA, - ,NA,mejora edilicia
x240,la rioja 1846,0200295,"Muros, patio, carpinteria, inst electrica, prov agua, acc basica y pintura. catalogacion?",NA,NA,Planificado,proximo a iniciar proyecto,f11,20/4/2024,18/08/2024,300,NA,NA,14/6/2025,NA,mejora edilicia
x241,estados unidos 3141/uriburu 876,0200334,"Patios exteriore, sanitarios,  inst electrica , acond gas pintura y accesibilidad basica",NA,NA,Planificado,a iniciar proyecto,f11,7/6/2024,05/10/2024,270,NA,NA,02/07/2025,NA,mejora edilicia
x243,pico 2689,0200509,Plan mejora edif cacciatore adecuacion de patio+ carpinteria  + inst electrica+ instalacion termomecanica -   cubierta y pintura en areas significativas + polideportivo en terreno lindero. ver fachada ladrillos,NA,477000000,Planificado,proximo a iniciar proyecto,f11,29/07/2024,1/9/2023,270,NA,NA,28/5/2024,NA,mejora edilicia
x244,lambare 975,0200077,"Plan mejora en   adecuacion   inst electrica, cielorraso  , patio , muros ,carpinteria, cubierta  y  pintura en areas significativas",NA,NA,Planificado,a iniciar proyecto,f11,NA,Sin fecha de inicio,Sin plazo,NA,NA, - ,NA,mejora edilicia
x245,senillosa 650,0200430,Plan mejora de patio+terrazas +acond sanitarios+ prov agua+acc plena+ electrica y pintura en areas significativas,NA,NA,Planificado,a iniciar proyecto,f11,30/7/2024,27/11/2024,360,NA,NA,22/11/2025,NA,mejora edilicia
x246,lascano 4044,0200811,"Adecuacion de patios, arreglo de muros, istalacion de gas y electrica, sanitarios, accesibilidad basica y pintura - cubierta móvil en nivel inicial, rehacer. la escuela solicita ampliación comedor",NA,NA,En Proyecto,en proyecto,f11,13/12/2023,11/4/2024,270,NA,NA,6/1/2025,NA,mejora edilicia
x247,julian alvarez 123,0200376,Instalación electrica y pintura,NA,176000000,Planificado,a iniciar proyecto,f11,30/3/2025,1/9/2023,240,NA,NA,28/4/2024,NA,mejora edilicia
x250,california 1925,0200187,"Plan mejora en   adecuacion   inst electrica , patio , muros ,carpinteria  y  pintura en areas significativas",NA,NA,Planificado,a iniciar proyecto,f11,17/10/2024,14/02/2025,300,NA,NA,11/12/2025,NA,mejora edilicia
x251,nicolas descalzi 5425,0200951,Plan mejora patio+ cielorraso+carpinteria+ inst gas y calefaccion+ sanitario+ cubierta + reparacion revoques y pintura en areas significativas,NA,NA,Planificado,a iniciar proyecto,f11,NA,Sin fecha de inicio,Sin plazo,NA,NA, - ,NA,mejora edilicia
x252,el salvador 5528/humboldt 1750,0200465,"Adecuacion de patio, carpinterias, sanitarios, inst gas y electrica, pintura (hay sdf)",NA,NA,Planificado,a iniciar proyecto,f11,2/9/2024,31/12/2024,360,NA,NA,26/12/2025,NA,mejora edilicia
x253,roseti 1450,0200658,"Plan mejora en   adecuacion   cocina , comedor ,  cubierta  y reparacion revoques y pintura en areas significativas + evaluacion estado polideportivo. acustizar comedor.",NA,NA,Planificado,a iniciar proyecto,f11,9/7/2024,6/11/2024,270,NA,NA,3/8/2025,NA,mejora edilicia
x254,entre rios 1341,0200133,"Adecuacion  calefaccion, inst electrica , patio , muros ,cubierta, acesibilidad basica  , pintura en areas significativas",NA,NA,Planificado,a iniciar proyecto,f11,NA,Sin fecha de inicio,Sin plazo,NA,NA, - ,NA,mejora edilicia
x255,lafayette 1879,0200233,"Adecuacion de patios , inst electrica y pintura, rejas de seguridad",NA,NA,En Proyecto,en proyecto,f11,19/11/2023,18/03/2024,270,NA,NA,13/12/2024,NA,mejora edilicia
x257,andonaegui 1532,0200723,"Sentencia judicial: ampliacion comedor, 3 aulas",NA,307375179,Licitación,licitación,f11,20/09/2023,18/01/2024,365,30,NA,16/2/2025,ex-2023-33957877- -gcaba-dginfe,mejora edilicia
x258,urquiza 227,0200304,"Restauracion, pintura, sanitarias, carpinterias",$ 287.000.000,450000000,Planificado,a iniciar proyecto,f11,26/08/2024,24/12/2024,360,NA,NA,19/12/2025,NA,mejora edilicia
x260,rondeau 2751 - bernasconi,0200312,Instalacion termomecanica,NA,NA,En Obra,en obra,f11,NA,Sin fecha de inicio,Sin plazo,NA,1%, - ,NA,mejora edilicia
x261,libertad 581,0200007,"Segunda etapa freno de deterioro (escuela patrimoniada): restauración de las fachadas interiores (patios). reparación de los revoques en paramentos interiores (circulaciones) afectados por humedad
De cimientos. reparación de cielorrasos dañados por humedad.  restauracion de zócalos perimetral de marmol, solados, escaleras principales, carpinterias y herrerias. reacondicionamiento de aulas de jardín de infante. colocacion de una rampa para dar accesibilidad. adecuación de la instalación eléctrica de baja tensión y muy baja tensión, en planta baja y en
Primer piso",NA,450000000,Planificado,a iniciar proyecto,f11,09/01/2025,9/5/2025,360,NA,NA,4/5/2026,NA,mejora edilicia
x262,parque de la ciudad -  avda. f.f. de la cruz s/n,00000pq,"Rejas, provision de cable y parquizacion","$35.794.537,33",95772377,Licitación,licitación,f11,29/11/2022,29/03/2023,60,NA,NA, - ,NA,mejora edilicia
x263,alvarez jonte 4651,0200807,"Cubierta, pintura, cielorrasos, revoques, electrica, calefaccion",NA,350000000,Planificado,a iniciar proyecto,f11,30/8/2024,28/12/2024,270,NA,NA,24/9/2025,NA,mejora edilicia
x267,fernandez de la cruz 3605,0200874,Conexion de instalacion de gas (medidor y conexion)+ habilitacion y puesta en marcha sistema de calefaccion,-,2000280,En Obra,en obra,433,22/06/2023,Sin fecha de inicio,60,x,NA, - ,ex-2023-22677165- -gcaba-dginfe,mejora edilicia
x268,carhue 2970,0200922,NA,NA,150000000,Planificado,a iniciar proyecto,f11,8/7/2024,5/11/2024,360,NA,NA,31/10/2025,NA,mejora edilicia
x270,gregorio araoz de lamadrid 648,0200178,Hundimiento solado patio,NA,50000000,En Proyecto,en proyecto,f11,2/12/2023,31/3/2024,120,x,NA,29/7/2024,NA,mejora edilicia
x273,pinto 3910 - freire 4060,0200515,Oficio judical,NA,450000000,En Proyecto,en proyecto,f11,18/2/2024,17/6/2024,420,NA,NA,11/8/2025,NA,mejora edilicia
