n_proyecto,proy,direccion,cui,intervenciones,presupuesto_estimado,estado,subestado,fuente,pase_dgar,inicio_obra,plazo_obra,ampliacion_plazo,avance_de_obra,fin_obra,eje,ano_plan
x220,x230,moreno 2135,0200140,Patios + muros+carpinterias+   inst electrica y pintura en areas significativas y evaluar posible crecimiento aulico. catalogacion?,NA,Planificado,planificado,f11,NA,Sin fecha de inicio,Sin plazo,NA,NA, - ,mejora edilicia,2024 - 2027
x221,x353,independencia 672,0200143,NA,NA,Planificado,planificado,f11,NA,Sin fecha de inicio,Sin plazo,NA,NA, - ,mejora edilicia,2024 - 2027
x222,x087,avda. don pedro de mendoza 1835,0200178,"Acondicionamiento  de cubierta, instalacion sanitario, electrica e incendio. arreglo de revoques menores en aulas.  adecuacion pintura interior de areas significantes  y patio.",NA,Planificado,planificado,f11,NA,Sin fecha de inicio,Sin plazo,NA,NA, - ,mejora edilicia,2024 - 2027
x223,x334,avda. boedo 650,0200317,NA,NA,Planificado,planificado,f11,NA,Sin fecha de inicio,Sin plazo,NA,NA, - ,mejora edilicia,2024 - 2027
x224,x352,inclan 3146,0200330,NA,NA,Planificado,planificado,f11,NA,Sin fecha de inicio,Sin plazo,NA,NA, - ,mejora edilicia,2024 - 2027
x225,x314,olaya 1565,0200358,"Reparacion de revoques, pintura general, instalacion electrica, cubiertas y pluviales, carpinterias",NA,Planificado,planificado,f11,NA,Sin fecha de inicio,Sin plazo,NA,NA, - ,mejora edilicia,2024 - 2027
x226,x319,cachimayo 1735,0200417,NA,NA,Planificado,planificado,f11,NA,Sin fecha de inicio,Sin plazo,NA,NA, - ,mejora edilicia,2024 - 2027
x227,x350,hortiguera 742,0200423,NA,NA,Planificado,planificado,f11,NA,Sin fecha de inicio,Sin plazo,NA,NA, - ,mejora edilicia,2024 - 2027
x228,x232,la pampa 1240,0200479,"Plan mejora en   adecuacion fachada,  inst electrica , patios, fisuras , muros ,carpinteria , cubierta, sanitarios, cocina , reparacion de revoques y   pintura en areas significativas  // chequear catalogacion",NA,Planificado,planificado,f11,NA,Sin fecha de inicio,Sin plazo,NA,NA, - ,mejora edilicia,2024 - 2027
x229,x355,juramento 2945,0200531,NA,NA,Planificado,planificado,f11,NA,Sin fecha de inicio,Sin plazo,NA,NA, - ,mejora edilicia,2024 - 2027
x230,x374,varela 1040,0200554,NA,NA,Planificado,planificado,f11,NA,Sin fecha de inicio,Sin plazo,NA,NA, - ,mejora edilicia,2024 - 2027
x231,x367,san pedrito 1137,0200569,NA,NA,Planificado,planificado,f11,NA,Sin fecha de inicio,Sin plazo,NA,NA, - ,mejora edilicia,2024 - 2027
x232,x347,gavilan 1464,0200611,"Instalacion electrica, accesibilidad, pintura",NA,Planificado,planificado,f11,NA,Sin fecha de inicio,Sin plazo,NA,NA, - ,mejora edilicia,2024 - 2027
x233,x320,albariño 2062,0200636,NA,NA,Planificado,planificado,f11,NA,Sin fecha de inicio,Sin plazo,NA,NA, - ,mejora edilicia,2024 - 2027
x234,x323,avda. del campo 1340,0200683,NA,NA,Planificado,planificado,f11,NA,Sin fecha de inicio,Sin plazo,NA,NA, - ,mejora edilicia,2024 - 2027
x235,x351,ibera 5734,0200748,NA,NA,Planificado,planificado,f11,NA,Sin fecha de inicio,Sin plazo,NA,NA, - ,mejora edilicia,2024 - 2027
x236,x345,gabriela mistral 3376,0200754,NA,NA,Planificado,planificado,f11,NA,Sin fecha de inicio,Sin plazo,NA,NA, - ,mejora edilicia,2024 - 2027
x237,x318,bazurco 2551,0200758,NA,NA,Planificado,planificado,f11,NA,Sin fecha de inicio,Sin plazo,NA,NA, - ,mejora edilicia,2024 - 2027
x238,x324,argerich 5651,0200762,"Reparacion de cubiertas, filtraciones, revoques, carpinterias, mejora en cielorrasos y pintura general",NA,Planificado,planificado,f11,NA,Sin fecha de inicio,Sin plazo,NA,NA, - ,mejora edilicia,2024 - 2027
x239,x343,concordia 3555,0200792,NA,NA,Planificado,planificado,f11,NA,Sin fecha de inicio,Sin plazo,NA,NA, - ,mejora edilicia,2024 - 2027
x240,x340,camarones 4351,0200814,NA,NA,Planificado,planificado,f11,NA,Sin fecha de inicio,Sin plazo,NA,NA, - ,mejora edilicia,2024 - 2027
x241,x335,alagon 300,0200844,NA,NA,Planificado,planificado,f11,NA,Sin fecha de inicio,Sin plazo,NA,NA, - ,mejora edilicia,2024 - 2027
x242,x317,avda. intendente francisco rabanal 2751,0200857,NA,NA,Planificado,planificado,f11,NA,Sin fecha de inicio,Sin plazo,NA,NA, - ,mejora edilicia,2024 - 2027
x243,x326,ferre 1957,0200872,"Accesibilidad, sanitarios, pintura",NA,Planificado,planificado,f11,NA,Sin fecha de inicio,Sin plazo,NA,NA, - ,mejora edilicia,2024 - 2027
x244,x344,cosquin 1943,0200910,NA,NA,Planificado,planificado,f11,NA,Sin fecha de inicio,Sin plazo,NA,NA, - ,mejora edilicia,2024 - 2027
x245,x316,avda. piedra buena 4863,0200955,"Adecuacion de cubierta, sanitarios, termomecanica, patios y pintura",NA,Planificado,planificado,f11,NA,Sin fecha de inicio,Sin plazo,NA,NA, - ,mejora edilicia,2024 - 2027
x246,x369,soldado de la frontera 5140,0200966,NA,NA,Planificado,planificado,f11,NA,Sin fecha de inicio,Sin plazo,NA,NA, - ,mejora edilicia,2024 - 2027
x247,x364,rocha 1226,0200175,NA,NA,Planificado,planificado,f11,NA,Sin fecha de inicio,Sin plazo,NA,NA, - ,mejora edilicia,2024 - 2027
x248,x373,trelles 948,0200357,NA,NA,Planificado,planificado,f11,NA,Sin fecha de inicio,Sin plazo,NA,NA, - ,mejora edilicia,2024 - 2027
x249,x357,mendez de andes 1451,0200375,NA,NA,Planificado,planificado,f11,NA,Sin fecha de inicio,Sin plazo,NA,NA, - ,mejora edilicia,2024 - 2027
x250,x376,victor martinez 1780,0200419,NA,NA,Planificado,planificado,f11,NA,Sin fecha de inicio,Sin plazo,NA,NA, - ,mejora edilicia,2024 - 2027
x251,x366,san nicolas 588,0200612,NA,NA,Planificado,planificado,f11,NA,Sin fecha de inicio,Sin plazo,NA,NA, - ,mejora edilicia,2024 - 2027
x252,x377,zinny 1641,0200623,"Adecuacion de cubierta, instalacion electrica, pintura general",NA,Planificado,planificado,f11,NA,Sin fecha de inicio,Sin plazo,NA,NA, - ,mejora edilicia,2024 - 2027
x253,x341,capdevila 3156,0200710,NA,NA,Planificado,planificado,f11,NA,Sin fecha de inicio,Sin plazo,NA,NA, - ,mejora edilicia,2024 - 2027
x254,x371,tilcara 2856,0200846,NA,NA,Planificado,planificado,f11,NA,Sin fecha de inicio,Sin plazo,NA,NA, - ,mejora edilicia,2024 - 2027
x255,x361,quilmes 473,0200850,NA,NA,Planificado,planificado,f11,NA,Sin fecha de inicio,Sin plazo,NA,NA, - ,mejora edilicia,2024 - 2027
x256,x360,montiel 3826,0200919,NA,NA,Planificado,planificado,f11,NA,Sin fecha de inicio,Sin plazo,NA,NA, - ,mejora edilicia,2024 - 2027
x127,x001,mom 2358,0200865,"Instalacion electrica completa, aa en patio central","$11.125.823,97",Finalizado,finalizado,f11,7/7/2022,21/10/2022,90,NA,100%,19/1/2023,mejora edilicia,2021f
x080,x002,girardot 1946,0200659,Instalacion electrica completa,"$ 24.726.802,64",Finalizado,finalizado,f11,7/7/2022,17/11/2022,90,NA,100%,30/6/2023,mejora edilicia,2021f
x213,x007,avda. triunvirato 4247,0200715,Reparacion de cubierta (fondos covid) - actualizar alcance,-,Planificado,a iniciar proyecto,f11,28/11/2024,28/3/2025,270,NA,NA,23/12/2025,mejora edilicia,2024 - 2027
NA,x010,santo tome  4529,0200818,Nuevo sanitario para adultos y adecuación del sanitario de inicial. motorización de cubierta parabólica corrediza.,"$250.000.000,00",Planificado,proximo a iniciar proyecto,f11,12/3/2024,10/07/2024,210,NA,NA,05/02/2025,mejora edilicia,2024 - 2027
NA,x026,libertad 581,0200007,"Freno de deterioro (escuela patrimoniada): restauración de las fachadas interiores (patios). reparación de los revoques en paramentos interiores (circulaciones) afectados por humedad
De cimientos. reparación de cielorrasos dañados por humedad.  restauracion de zócalos perimetral de marmol, solados, escaleras principales, carpinterias y herrerias. reacondicionamiento de aulas de jardín de infante. colocacion de una rampa para dar accesibilidad. adecuación de la instalación eléctrica de baja tensión y muy baja tensión, en planta baja y en
Primer piso","$67.044.161,00",Finalizado,finalizado,f11,NA,27/5/2022,270,NA,100%,31/5/2023,mejora edilicia,2021 - 2023
NA,x027,estados unidos 1228 (5to),01228eu,Obra de finalizacion 5to piso dginfe,"$19.520.019,30",Finalizado,neutralizada,f11,NA,12/5/2022,60,NA,100%,10/8/2022,mejora edilicia,2021 - 2023
NA,x028,avda. jose maria moreno 345,0200425,"Accesibilidad, ascensor. (amparo)","$17.821.000,00",Finalizado,finalizado,f11,NA,15/9/2021,210,NA,100%,12/6/2022,mejora edilicia,2021 - 2023
NA,x029,tandil 6690,0200902,"Accesibilidad, ascensor.","$12.226.784,76",Finalizado,finalizado,f11,NA,19/1/2022,180,NA,100%,17/1/2023,mejora edilicia,2021 - 2023
NA,x030,avda. alvarez jonte 5075,0200829,Instalacion electrica completa,"$26.157.164,59",Finalizado,finalizado,f14 p37,NA,19/8/2022,120,NA,100%,31/1/2023,mejora edilicia,2021 - 2023
NA,x036,libertador 8635,0200528,Sanitarios. (fondos covid),"$6.834.478,41",Finalizado,finalizado,f14 (covid),18/8/2022,18/8/2022,120,NA,100%,15/1/2023,mejora edilicia,2021 - 2023
NA,x038,gral. enrique martinez 1432,0200670,Plan obras covid comedor,"$4.411.382,73",Finalizado,finalizado,f14 (covid),NA,12/7/2022,60,NA,100%,10/9/2022,mejora edilicia,2021 - 2023
NA,x039,mexico 1627,0200146,Sanitarios. (fondos covid),"$7.922.833,89",Finalizado,finalizado,f14,NA,18/8/2022,150,NA,100%,1/3/2023,mejora edilicia,2021 - 2023
NA,x044,juncal 3251 / adicional proyecto aula,0200028,"Nuevo ascensor exterior - aumento caudal, reserva sanitaria","$ 15.232.617,67",Finalizado,finalizado,f11,22/10/2021,26/6/2022,180,NA,100%,neutralizada,mejora edilicia,2021 - 2023
NA,x046,avda. jujuy 780,0200320,Cambio de chapas y pintura,"$ 28.313.456,44",Finalizado,finalizado,f11,13/7/2022,20/01/2023,90,NA,100%,20/4/2023,mejora edilicia,2021 - 2023
NA,x049,jose antonio cabrera 3430,0200085,Reparaciones varias. mejoras en núcleos sanitarios. ejecución cuña desmontable. tratamiento de humedad de cimientos. trabajos sanitarios. instalación eléctrica,"$30.052.943,33",Finalizado,finalizado,f11,9/12/2021,8/7/2022,240,NA,100%,30/7/2023,mejora edilicia,2021 - 2023
NA,x050,avda. santa fe 5039,0200445,Instalación eléctrica,"$65.295.070,00",Finalizado,finalizado,f11,26/11/2021,8/10/2022,120,NA,100%,neutralizada,mejora edilicia,2021 - 2023
NA,x052,avda. larrazabal 420,0200906,"Reparación en cubiertas, impermeabilización.","$ 29.352.835,14",Finalizado,finalizado,f11,16/6/2022,1/12/2022,150,NA,100%,30/7/2023,mejora edilicia,2022 ad
NA,x054,echeverria 5034,0200708,"Demoliciones varias, reparaciones y provisión de nuevas carpinterías (herreria), accesibilidad basica, sanitario adaptado, patio, pintura gral.","$ 13.032.053,54",Finalizado,finalizado,f11,19/3/2022,23/9/2022,120,NA,100%,30/6/2023,mejora edilicia,2021 - 2023
NA,x055,ayacucho 632 / peru 1236 ascensores,0201863,Adecuacion y puesto funcionamiento elevadores,"$ 41.291.383,66",Finalizado,finalizado,f11,22/7/2022,22/12/2022,120,NA,100%,30/7/2023,mejora edilicia,2022 ad
NA,x056,almte. francisco j. segui 2580,0200666,"Biblioteca, sala maestros, filtraciones","$ 12.991.258,81",Finalizado,finalizado,f11,19/5/2022,20/10/2022,120,NA,100%,23/2/2023,mejora edilicia,2021 - 2023
NA,x057,cuzco 116,0200821,Cambio de cubiertas. reacondicionamiento sanitario. reparaciones varias. pintura. instalacion electrica completa,"$ 48.586.390,82",Finalizado,finalizado,f11,27/12/2021,26/9/2022,270,NA,100%,23/6/2023,mejora edilicia,2021 - 2023
NA,x067,avda. san pedrito 1415,0200552,"Ejecución ampliación y remodelación jic (tal como esta previsto en el proyecto). ejecución de solados patios descubiertos los que deberían incluir el sector que hoy se encuentra con terreno absorbente, desnivelado y con cascotes. construcción de un semicubierto para utilizar como gimnasio. trabajos en muros perimetrales ya que al ser terreno de relleno se producen desplazamientos constantemente, sumado a la rotura de llos mismo por los arboles. idem rejas perimetrales. pintura de herrerías (parasoles, protecciones y carpinterías de chapa y hierro ángulo). puesta en marcha sistema de ventilación (posee los conductos pero solo funciona la calefacción, al ser muy vidriado el edificio los espacios comunes se transforman en grandes hornos, y las aulas poseen poca ventilación al ser de apertura de proyección)",-,Planificado,a iniciar proyecto,f11,8/8/2024,6/12/2024,360,NA,NA,1/12/2025,mejora edilicia,2024 - 2027
NA,x070,pedro lozano 3056,0200797,Impermeabilizacion parcial y pintura de cielorrasos. albañileria. reparacion de escaleras. humedad de cimientos.,"$ 188.184.977,22",Licitación,licitación,f11,3/7/2023,15/11/2023,300,NA,NA,10/9/2024,mejora edilicia,2021 - 2023
NA,x072,tronador 4134,0200728,"Reparación de humedad de cimientos, reparación de las mamposterías afectadas y pintura integral. impermeabilización de cubiertas, en sector con filtraciones y respiración de cielorrasos. requiere pisos patios
Acondicionamiento de baños",$ 25.000.000,Planificado,a iniciar proyecto,f11,16/8/2024,14/12/2024,270,NA,NA,10/9/2025,mejora edilicia,2024 - 2027
NA,x074,catamarca 462,0200298,"Pintura general y arreglos de algunos sectores de revoque. 
","$14.302.497,40",Finalizado,finalizado,f14,25/07/2022,20/1/2023,90,NA,100%,11/4/2023,mejora edilicia,2021 - 2023
NA,x081,lacarra 1135,0200628,"Cubierta, carpinterias (madera, deterioradas), playon de acceso, puesta en valor sector original del edificio","$260.000.000,00",Planificado,planificado,f11,3/07/2024,14/9/2024,360,NA,NA,26/10/2025,mejora edilicia,2024 - 2027
NA,x100,villa olimpica - jose benjamin zubiaur 4180 y 23 de junio 4155,0000000,"Sistema de alarma primaria, limpieza de terreno y cortinas. ver posibilidad de incorporar mas tareas.","$414.271.095,70",En Obra,en obra,f11,17/06/2023,01/11/2023,300,x,0%,27/08/2024,mejora edilicia,2024 - 2027
NA,x114,av. roca 6902 - autodromo,00000au,"Demolicion de mamposterias, tabiques, pisos y canteros. proveer y colocar reja de proteccion en las ventanas de aula y oficina. ejecucion de contrapiso, carpeta y solado en sector terraza. ejecucion de canteros. provision y colocacion de lockers. instalacion sanitaria: instalación y colocación de nuevos inodoros pedestal, cambio de placas afectadas por humedad, proveer y colocar accesorios y espejos en los sanitarios.","$ 16.136.338,49",Finalizado,finalizado,f11,26/01/2023,15/06/2023,90,NA,100%,13/9/2023,mejora edilicia,2023a
NA,x115,zapata 449,0200442,"Impermeabilizacion, instalación pluvial y pintura","$21.196.326,51",Finalizado,finalizado,f11,-,20/05/2022,150,NA,100%,16/11/2022,mejora edilicia,2021 - 2023
NA,x148,venezuela 3259,0202635,Instalacion electirca impermeabilizacion,"$ 10.721.309,20",Finalizado,finalizado,f11,7/5/2021,21/9/2021,120,NA,100%,25/1/2022,mejora edilicia,2021 - 2023
NA,x149,franklin 1836,0200362,Sanitarios. (fondos covid),"$5.455.138,73",Finalizado,finalizado,f14 (covid),NA,3/1/2022,90,NA,100%,3/4/2022,mejora edilicia,2021 - 2023
NA,x150,pellegrini 1515,0200032,Puesta en valor de la escalera,$ 5.101.483,Finalizado,finalizado,f11,NA,20/9/2021,60,NA,100%,19/11/2021,mejora edilicia,2021 - 2023
NA,x151,zuviria 6554,0202584,"Tanque de bombeo, bombas (fondos covid)","$6.266.250,00",Finalizado,finalizado,f11,NA,10/2/2022,60,NA,100%,11/4/2022,mejora edilicia,2021 - 2023
NA,x152,avda. riestra 3300,0202388,Instalacion electrica,"$ 4.194.032,33",Finalizado,finalizado,f11,NA,19/11/2021,90,NA,100%,17/2/2022,mejora edilicia,2021 - 2023
NA,x153,don pedro de mendoza 1777,0200196,"Reparacion de aleros, cubiertas.","$20.615.534,00",Finalizado,finalizado,f11,NA,24/9/2021,180,NA,100%,23/3/2022,mejora edilicia,2021 - 2023
NA,x154,simbron 5855,0202395,Impermeabilizacion,"$ 26.245.160,70",Finalizado,finalizado,f11,18/6/2021,5/10/2021,180,NA,100%,3/4/2022,mejora edilicia,2021 - 2023
NA,x155,peru 1357,0202569,"Instalacion electrica, ampliacion, mejora edilicia","$37.437.202,59",Finalizado,finalizado,f11,24/6/2021,19/11/2021,120,NA,100%,19/3/2022,mejora edilicia,2021 - 2023
NA,x156,saavedra 695,0200299,Mejora edilicia en varios sectores,"$19.393.947,10",Finalizado,finalizado,f11,NA,23/11/2021,120,NA,100%,23/3/2022,mejora edilicia,2021 - 2023
NA,x157,paseo colon 255 (4to),0200200,Conformación de la biblioteca de la universidad de la ciudad,"$8.993.290,61",Finalizado,finalizado,f11,NA,4/1/2022,60,NA,100%,5/3/2022,mejora edilicia,2021 - 2023
NA,x159,letonia y antartida argentina,0202678,"Obra en escuela temporaria de la media, se desafecta el edificio y paso a justicia","$3.543.233,80",Finalizado,finalizado,f11,NA,Sin fecha de inicio,75,NA,100%, - ,mejora edilicia,2021 - 2023
NA,x160,asamblea 1221,0200405,Acondicionamiento de patio,"$11.916.990,30",Finalizado,finalizado,f11,NA,Sin fecha de inicio,150,NA,100%, - ,mejora edilicia,2021 - 2023
NA,x161,scalabrini ortiz 1336,0200443,Sanitario e impermeabilizacion,"$3.377.362,43",Finalizado,finalizado,f11,NA,Sin fecha de inicio,90,NA,100%, - ,mejora edilicia,2021 - 2023
NA,x162,pio collivadino 436,0200643,Reparacion de medianera,"$3.194.103,73",Finalizado,finalizado,f11,NA,Sin fecha de inicio,Sin plazo,NA,100%, - ,mejora edilicia,2021 - 2023
NA,x163,juan de garay 3972,0200311,Pintura y acondicionamiento de patio,"$21.902.996,14",Finalizado,finalizado,f11,NA,Sin fecha de inicio,150,NA,100%, - ,mejora edilicia,2021 - 2023
NA,x164,alberdi 4139,0202662,"Trabajos en  medianeras, subsuelo por filtraciones","$ 21.196.325,51",Finalizado,finalizado,f11,NA,20/5/2022,150,NA,100%,17/10/2022,mejora edilicia,2021 - 2023
NA,x165,jose a. cortejarena 3350,0200255,Sanitarios. (fondos covid),"$5.956.117,25",Finalizado,finalizado,f14 (covid),NA,24/5/2022,90,NA,100%,25/8/2022,mejora edilicia,2021 - 2023
NA,x166,lynch 3536,0200244,Sanitarios. (fondos covid),"$3.630.761,13",Finalizado,finalizado,f14 (covid),NA,21/6/2022,90,NA,100%,19/9/2022,mejora edilicia,2021 - 2023
NA,x167,nuñez 3638,0200529,"Restauracion de fachadas, humedades de cimientos, instalacion electrica completa","$31.955.000,00",Finalizado,neutralizada,f11,NA,1/11/2021,210,NA,100%,12/11/2022,mejora edilicia,2021 - 2023
NA,x168,rondeau 2751,0200312,Restauracion de cielorrasos de sector pileta,"$6.373.844,67",Finalizado,finalizado,f11,NA,16/9/2021,120,NA,100%,14/1/2022,mejora edilicia,2021 - 2023
NA,x169,magariños cervantes 5068,0200832,"Instalacion electrica completa, sanitarios","$44.077.559,00",Finalizado,neutralizada,f11,5/10/2021,5/10/2021,180,NA,100%,22/9/2022,mejora edilicia,2021 - 2023
NA,x170,planetario,00000gg,"Instalacion de caldera electrica, tendido electrico al edificio desde ct","$19.209.834,00",Finalizado,neutralizada,f11,NA,01/10/2021,90,NA,100%,5/7/2022,mejora edilicia,2021 - 2023
NA,x171,formosa 136,0200426,"Accesibilidad, ascensor. (amparo)","$25.771.052,00",Finalizado,finalizado,f11,NA,27/9/2021,210,NA,100%,25/4/2022,mejora edilicia,2021 - 2023
NA,x172,paseo colon 255 (5to),0200200,Conformacion de 4 aulas y apoyo administrativo,"$13.195.684,00",Finalizado,finalizado,f11,NA,21/6/2022,60,NA,100%,20/8/2022,mejora edilicia,2021 - 2023
NA,x173,jeronimo salguero 920,0200100,"Mejora edilicia, sanitarios, talleres.","$71.082.274,66",Finalizado,neutralizada,f11,NA,18/11/2021,365,NA,100%,7/1/2023,mejora edilicia,2021 - 2023
NA,x174,avda. rivadavia 4950,0200427,"Instalacion electrica completa, impermeabilizacion, restauracion de un sector de fachada","$113.225.803,05",Finalizado,neutralizada,f11,NA,17/11/2021,210,NA,100%,13/9/2022,mejora edilicia,2021 - 2023
NA,x175,parque de la ciudad -  avda. f.f. de la cruz s/n,00000pq,"Obra nueva, pileta","$84.449.064,70",Finalizado,neutralizada,f11,NA,25/11/2021,120,NA,100%,24/5/2022,mejora edilicia,2021 - 2023
NA,x176,ayacucho 1849,0200016,Sanitarios ( covid),"$3.666.231,00",Finalizado,finalizado,f14,NA,6/10/2022,90,NA,100%,03/03/2023,mejora edilicia,2021 - 2023
NA,x177,san pedro 4457,0200635,Rehabilitación de núcleo sanitario de pb.,"$2.663.284,39",Finalizado,finalizado,f14 (covid),NA,27/7/2022,90,NA,100%, - ,mejora edilicia,2021 - 2023
NA,x178,quito 4043,0200420,Mejoramiento edilicio e instalación eléctrica,"$25.301.985,80",Finalizado,finalizado,f14,12/7/2022,30/1/2023,120,NA,100%,11/7/2023,mejora edilicia,2021 - 2023
NA,x179,dr. tomas manuel de anchorena 441,0200079,Adecuacion inst y pintura,"$20.773.909,53",Finalizado,finalizado,f14,11/7/2022,8/2/2023,180,NA,100%,7/8/2023,mejora edilicia,2021 - 2023
NA,x182,valdenegro 3525,0200711,"Obra rescindida: trabajos de ampliación edilicia, medios de salida y pintura integral de fachadas",NA,Finalizado,finalizado,f14,NA,17/01/2022,120,NA,100%,17/05/2022,mejora edilicia,2021 - 2023
NA,x191,gral. martin de gainza 1050 (433),0200381,Imperbeabilizacion de un sector de azotea,-,Finalizado,finalizado,f11,NA,9/9/2022,-,NA,100%, - ,mejora edilicia,2021 - 2023
NA,x197,catulo castillo 2750,0200874,NA,NA,Finalizado,finalizado,3,-,-,-,NA,NA, - ,mejora edilicia,2021 - 2023
NA,x200,santo domingo 4050,0202688,NA,NA,Finalizado,finalizado,f11,-,-,-,NA,NA, - ,mejora edilicia,2021 - 2023
NA,x201,terrada 3983,0200743,NA,NA,Finalizado,finalizado,f11,-,-,-,NA,NA, - ,mejora edilicia,2021 - 2023
NA,x204,san juan 1545,0200137,"Impermeabilizacion de todas las terrazas y cubiertas. tratamiento de patologias estructurales, hierros expuestos. tratamiento de humedad de cimientos. optimizacion en instalaciones pluvial.",$ 13.566.984.79,Finalizado,finalizado,f11,19/04/2022,07/07/2022,120,NA,100%,4/12/2022,mejora edilicia,2021 - 2023
NA,x219,riobamba 623,0200023,NA,NA,Planificado,planificado,f11,NA,-,Sin plazo,NA,NA, - ,mejora edilicia,2024 - 2027
NA,x226,av. lope de vega 2150,0200831,NA,-,Planificado,a iniciar proyecto,f11,NA,Sin fecha de inicio,Sin plazo,NA,NA, - ,mejora edilicia,NA
NA,x239,giribone 1961,0200685,"Plan mejora edilicia adecuacion patio, muro, carpinteria, cubierta  cubierta y  pintura en areas significativas + adecuacion gimnasio",-,Planificado,a iniciar proyecto,f11,NA,Sin fecha de inicio,Sin plazo,NA,NA, - ,mejora edilicia,NA
NA,x244,lambare 975,0200077,"Plan mejora en   adecuacion   inst electrica, cielorraso  , patio , muros ,carpinteria, cubierta  y  pintura en areas significativas",-,Planificado,a iniciar proyecto,f11,NA,Sin fecha de inicio,Sin plazo,NA,NA, - ,mejora edilicia,NA
NA,x251,nicolas descalzi 5425,0200951,Plan mejora patio+ cielorraso+carpinteria+ inst gas y calefaccion+ sanitario+ cubierta + reparacion revoques y pintura en areas significativas,-,Planificado,a iniciar proyecto,f11,NA,Sin fecha de inicio,Sin plazo,NA,NA, - ,mejora edilicia,NA
NA,x252,el salvador 5528/humboldt 1750,0200465,"Adecuacion de patio, carpinterias, sanitarios, inst gas y electrica, pintura (hay sdf)",NA,Planificado,a iniciar proyecto,f11,2/9/2024,31/12/2024,360,NA,NA,26/12/2025,mejora edilicia,2024 - 2027
NA,x261,libertad 581,0200007,"Segunda etapa freno de deterioro (escuela patrimoniada): restauración de las fachadas interiores (patios). reparación de los revoques en paramentos interiores (circulaciones) afectados por humedad
De cimientos. reparación de cielorrasos dañados por humedad.  restauracion de zócalos perimetral de marmol, solados, escaleras principales, carpinterias y herrerias. reacondicionamiento de aulas de jardín de infante. colocacion de una rampa para dar accesibilidad. adecuación de la instalación eléctrica de baja tensión y muy baja tensión, en planta baja y en
Primer piso","$450.000.000,00",Planificado,a iniciar proyecto,f11,09/01/2025,9/5/2025,360,NA,NA,4/5/2026,mejora edilicia,2024 - 2027
NA,x263,alvarez jonte 4651,0200807,"Cubierta, pintura, cielorrasos, revoques, electrica, calefaccion",NA,Planificado,planificado,f11,NA,28/12/2024,Sin plazo,NA,NA, - ,mejora edilicia,2024 - 2027
NA,x267,fernandez de la cruz 3605,0200874,Conexion de instalacion de gas (medidor y conexion)+ habilitacion y puesta en marcha sistema de calefaccion,"$ 2.000.280,09",En Obra,en obra,433,22/06/2023,Sin fecha de inicio,60,NA,NA, - ,mejora edilicia,2021 - 2023
