n_proyecto,direccion,cui,estado_actual,estado_a_fin_de_obra,intervenciones,presupuesto_estimado,presupuesto_final,estado,subestado,fuente,pase_dgar,inicio_obra,plazo_obra,ampliacion_de_plazo,avance_de_obra,fin_obra,expediente,eje
x183,LA PORTEÑA 54 - YERBAL 2750,0200607,BUENO,BUENO,"Obra nueva, ampliación de la porteña 54  ( 9 aulas)",NA,"$346.164.000,00",En Obra,en obra,F11,29/8/2022,20/1/2023,390,NA,1%,24/01/2024,NA,Mejora Edilicia
x184,NATATORIO YERBAL 25,0200396,BUENO,BUENO,Puesta en funcionamiento de la plieta y accesibilidad,$ 50.000.000,NA,En Proyecto,corporacion sur,CORPORACION SUR,08/03/2023,06/07/2023,210,NA,NA,NA,NA,CORP SUR
x185,DAOM - VARELA 1802,0000000,NO APLICA,NO APLICA,"Cancha de futbol 5, sintetico, 8 luminarias, acceso independiente desde av varela.",40.000.000,"$ 55.613.489,30",En Proyecto,corporacion sur,CORPORACION SUR,08/12/2022,07/04/2023,120,NA,NA,NA,NA,CORP SUR
x186,ESCALADA 2890,0200647,NO APLICA,NO APLICA,"Construcción de 4 aulas modulares en steel frame, adecuaciones en: vivienda casero, sala profesores y preceptores.",NA,NA,En Proyecto,corporacion sur,CORPORACION SUR,-,01/07/2023,Sin plazo,NA,NA,NA,NO-2023-13357334-GCABA-CBAS,CORP SUR
x187,CAÑADA DE GOMEZ 3859,0200927,NO APLICA,NO APLICA,Incorporacion de dos aulas de steel frame y nucleo sanitarios. Traslado de mastil.,NA,NA,En Proyecto,corporacion sur,CORPORACION SUR,-,01/07/2023,Sin plazo,NA,NA,NA,NO-2023-13587403-GCABA-CBAS,CORP SUR
x188,BARRIO 31 - INDIRA GANDHI,0200505,NA,NA,Obra nueva primaria -ajustes por cambio de terreno-,NA,"$ 1.171.064.451,35",En Obra,en obra,F11,23/9/2022,1/2/2023,450,NA,1%,24/6/2024,NA,Obra Nueva
x189,Gral. MARTIN DE GAINZA 1050,0200381,BUENO,NA,"Impermeabilización de las azoteas, cubierta tipo shed de los talleres y
Laboratorios. Instalaciones eléctrica, sanitaria, contra incendio, termomecánica y la reparación –
Puesta en norma del ascensor.",NA,"$405.359.455,00",En Obra,en obra,F11,12/8/2022,19/1/2023,330,NA,7%,15/12/2023,NA,Mejora Edilicia
x191,Gral. MARTIN DE GAINZA 1050 (433),0200381,NA,NA,Imperbeabilizacion de un sector de azotea,NA,-,Finalizado,finalizado,F11,NA,26/6/2023,-,NA,100%,NA,NA,Mejora Edilicia
x192,LIBERTADOR 8635,0200528,NA,NA,Patio: analizar posibilidad de cubrir algun patio o parte para generar espacio de sombra. Electricidad: adecuacion de la instalacion segu normativa. Calefaccion y refrigeracion. Pintura. Campo de deportes: trabajos para evitar inundaciones.  Accesibilidad en sector  de aulas.  Cubierta: adecuacion en sector historico.,$ 250.000.000,NA,En Proyecto,en proyecto,F11,06/08/2023,04/12/2023,Sin plazo,NA,0%,NA,NA,Mejora Edilicia
x194,LOYOLA 1500,0200469,NA,NA,"Analizar factibilidad de incorporar  6 salas de inicial (salas de 3,4 y 5 años).",NA,-,En Proyecto,en proyecto,F11,28/7/2023,25/11/2023,Sin plazo,NA,NA,NA,NA,Obra Nueva
x195,PASEO COLON 650,0200195,NA,NA,"433: completamiento de aulas de mecanica, torneria y electricidad.",NA,-,En Proyecto,a la espera de definicion,F11,26/05/2023,23/9/2023,Sin plazo,NA,NA,NA,NA,Mejora Edilicia
x197,FERNANDEZ DE LA CRUZ 3605,0200874,NA,NA,Instalacion de gas,NA,NA,En Proyecto,en proyecto/instalaciones,F12,24/05/2023,21/9/2023,Sin plazo,NA,NA,NA,NA,Mejora Edilicia
x203,PARQUE DE LA CIUDAD,00000PQ,NO APLICA,NO APLICA,"Rejas, provision de cable y parquizacion","$35.794.537,33","$95.772.377,60",Licitación,licitación,F11,24/04/2023,22/8/2023,120,NA,NA,NA,EX-2023-11006137-   -GCABA-DGINFE,Mejora Edilicia
x062,LOS PATOS 3004,0202179,MUY BUENO,MUY BUENO,"Ampliacion de 2 salas con sus respectivos sanitarios (50 m2), un área gestión conformada por 4 oficinas y un comedor con una superficie de 106 m2.",NA,NA,En Proyecto,cyp,F11,21/5/2023,18/9/2023,240,NA,NA,NA,NA,Mejora Edilicia
x079,HUMBERTO Iº 3171,0200302,REGULAR,BUENO,"Acondicionamiento  de acc basica, sanitarios , inst electrica e incendio, prov de agua , cielorraso   , carpinteria ,arreglo patio y  muros con sus revoques. pintura  y patio",NA,"$205.148.895,05",Licitación,licitación,F11,17/4/2023,15/8/2023,300,NA,NA,NA,EX-2023-14712334- -GCABA-DGINFE,Mejora Edilicia
x058,AVDA. CURAPALIGUE 1150,0200428,BUENO,BUENO,Refaccion integral edilicia accesibilidad plena carpinteria y pintura patio,NA,"$ 88.261.808,24",En Proyecto,en proyecto,F11,8/6/2023,6/10/2023,240,NA,NA,NA,NA,Mejora Edilicia
