cui,distrito,nombre_establecimiento,domicilio_edificio,numero_escuela
0200561,11,JIN D (EPCJC 13/11°) SIN FRONTERAS - EPC N° 13 FRANCISCA JACQUES,LAUTARO 1440,13-13
0200562,11,ESC. TEC. N° 37 HOGAR NAVAL STELLA MARIS - EPC N° 14 HOGAR NAVAL STELLA MARIS - ESEA EN DANZA RAMICONE CURSO VOCACIONAL DE FOLKLORE N° 01,PERGAMINO 211,37-14-01
0200563,11,Sup Primaria DE 11 - JIN D (EPCJS 15/11°) [S] SIN FRONTERAS - EPA N° 15 REPUBLICA ORIENTAL DEL URUGUAY - EPC N° 15 REPUBLICA ORIENTAL DEL URUGUAY,AVDA. CARABOBO 253,11-15-15-15
0200564,11,EPC N°16 DR.F.J.E.DE SANTA CRUZ Y ESPEJO - JIN A (EPCJS 16/11°) BALDOMERO F. MORENO,PRIMERA JUNTA 3445,16-16
0200565,11,JIN B (EPCJC 17/11°) [S] - EPC N° 17 GRAL. JUAN GALO LAVALLE,GRAL. EUGENIO GARZON 3950,17-17
0200566,11,JIN B (EPCJS 19/11°) - EPC N° 19 FRAGATA ARA LIBERTAD,JOSE BONIFACIO 3650,19-19
0200567,11,JINA(EPCJC 20/11°)[S]BALDOMERO F.MORENO - EPC N° 20 ANTONIO ALICE,BALDOMERO FERNANDEZ MORENO 3652,20-20
0200568,11,EPC N° 22 HIPOLITO BOUCHARD,AVELINO DIAZ 2356,22
0200569,11,EPC N° 23 GRAL. DE DIV. MANUEL N. SAVIO,SAN PEDRITO 1137,23
0200570,11,Sup Inicial IV B - EPC N° 24 DR. PEDRO AVELINO TORRES - JII N° 03/11° - ESC. DE MUSICA N° 07,LAUTARO 752,24-03-07
0200571,11,ESC. DE COM. N° 09 JOSE INGENIEROS,CNEL. RAMON L. FALCON 2248,09
0200572,11,ESC. TEC. N° 05 MARIA DE ESCALADA DE SAN MARTIN,AVDA. JUAN BAUTISTA ALBERDI 1845,05
0200573,11,ESCUELA INF. N° 04/11° - CAIYJ FLORES,AVDA. VARELA 1425,04
0200574,11,LICEO N° 05 PASCUAL GUAGLIANONE - ESC. TEC.  N° 18 JOSE ANTONIO ALVAREZ CONDARCO,AVDA. CARABOBO 286,05-18
0200575,11,ESC. DE COM.  N° 21 CAP. DE NAVIO HIPOLITO BOUCHARD,PUMACAHUA 390,21
0200576,11,JII N° 01/11°,AVDA. SAN PEDRITO 341,01
0200579,11,EPC N° 21 MARIA SKLODOWSKA DE CURIE - JINA(EPCJS 21/11°) BALDOMERO F. MORENO,MARIANO ACOSTA 1071,21-21
0200584,12,JIN A (EPCJC 01/12°) - EPC N°01 M.DE BELLAS ARTES GRAL. URQUIZA,YERBAL 2370,01-01
0200585,12,EPC N° 02 FLORENCIO VARELA - EPA N° 02 FLORENCIO VARELA,CARACAS 10,02-02
0200586,12,JIN D (EPCJC 03/12°) [S] - EPC N° 03 EMILIO GIMENEZ ZAPIOLA - EPA N° 03 EMILIO GIMENEZ ZAPIOLA - CECIE N° 12,JOAQUIN V. GONZALEZ 180,03-03-03-12
0200587,12,JIN A (EPCJS 04/12°) [S] - EPC N° 04 PROVINCIA DE LA PAMPA - ESEA EN DANZA MASTRAZZI  JUV. N° 05,CARACAS 1249,04-04-05
0200588,12,JIN A (EPCJC 05/12°) - EPC N° 05 REPUBLICA DE EL SALVADOR,GRAL. JOSE GERVASIO DE ARTIGAS 878,05-05
0200589,12,EPC N° 06 DR. ALFREDO L. PALACIOS,CARACAS 2057,06
0200590,12,EPC N° 07 JORGE NEWBERY,SAN BLAS 2962,07
0200591,12,EPC N° 08 QUINTINO BOCAYUVA - EPA N° 08 QUINTINO BOCAYUVA,GRAL. CESAR DIAZ 3050,08-08
0200592,12,JIN D (EPCJS 09/12°) - EPC N° 09 LIC. DON MAURO FERNANDEZ - CENS N° 85,BACACAY 3542,09-09-85
0200593,12,JIC N° 03/12° BANDERIN - EPC N°10 CNEL.DE MARINA LEONARDO ROSALES,MERCEDES 1405,03-10
0200594,12,JIN C (EPCJS 11/12°)(SEDE) - EPC N° 11 ANDRES BELLO,DR. LUIS BELAUSTEGUI 3751,11-11
0200595,12,JIC N° 02/12° PROVIMCIA DE CHACO - EPC N° 12 PROVINCIA DEL CHACO,AVDA. AVELLANEDA 2547,02-12
0200596,12,EPC N° 15 CNEL. C. T. SOURIGUES - CENOF CENTRO ARANGUREN,DR. JUAN FELIPE ARANGUREN 2400,15
0200597,12,EPC N° 16 ERNESTO ALEJANDRO BAVIO - JIN C (EPCJC 16/12°) - CAIYJ CLUB FLORESTA,BAHIA BLANCA 1551,16-16
0200598,12,EPC N° 17 CASILDA IGARZABAL DE ROD.PEÑA - JIN C (EPCJS 17/12°) - CECIE N° 23,ALEJANDRO MAGARIÑOS CERVANTES 2865,17-17-23
0200599,12,JIN A (EPCJC 19/12°) - EPC N° 19 LEANDRO NICEFORO ALEM - CENS N° 76,FRAY CAYETANO RODRIGUEZ 95,19-19-76
0200600,12,EPC N° 23 SATURNINO SEGUROLA,GRAL. VENANCIO FLORES 3869,23
0200601,12,JIN D (EPCJC 24/12°) - EPC N° 24 PADRE CASTAÑEDA,MORON 3745,24-24
0200602,12,EPC N° 25 INSP.GEN. ALFREDO DANIEL ZUMDA - JIN C DE 12 (ESC. PRIM. Nº 11 DE 12),REMEDIOS DE ESCALADA DE SAN MARTIN 2986,25-12-11-12
0200603,12,JIC N° 06 DE 12,SAN BLAS 2238,06-12
0200604,12,JII N° 01/12° RITA LATALLADA DE VICTORIA,JOAQUIN V. GONZALEZ 307,01
0200605,12,JM N° 05/12° H° DR. T. ALVAREZ,DR. JUAN FELIPE ARANGUREN 2605,05
0200606,12,COLEGIO N° 09 JUSTO JOSE DE URQUIZA,CONDARCO 290,09
0200607,12,ESC. TEC. N° 06 FERNANDO FADER,PJE. LA PORTEÑA 54,06
0200608,12,EEM N° 01/12° JULIO CORTAZAR,BOGOTA 2759,01
0200609,12,CFP N° 24 (SEDE),GRAL. JOSE GERVASIO DE ARTIGAS 690,24
0200610,12,ESC. PARA JÓVENES Y ADULTOS CON DISCAPACIDAD MENTAL Y FORMACIÓN INTEGRAL N° 16 DRA. C TOBAR GARCÍA,CAMARONES 3559,16
0200611,12,ESC. INTEGRAL INTERDISCIPLINARIA N° 12,GAVILAN 1464,12
0200612,12,CENS N° 56 - CE DE NIVEL PRIMARIO - SEDE SUPERVISION - CENTRO EDUCATIVO DE NIVEL PRIMARIO N° 28 - CENOF CENTRO SAN NICOLAS - CENTRO EDUCATIVO CURSOS ESPECIALES - (SEADAD),SAN NICOLAS 588,56-28
0200615,12,Superv.Educ Prim. Zona D RegiónVII-DE 12,CARACAS 48,12
0200618,12,EPC N° 14 ENRIQUE G. PARKER - JIC N°04/12 CONV.INTER. DER.DEL NIÑO - CECEP N° 12 - ESEA EN DANZA RAMICONE CURSO VOCACIONAL DE FOLKLORE N° 19 - ESEA EN DANZA RAMICONE CURSO VOCACIONAL DE FOLKLORE N° 14,CONDARCO 1129,14-04-12-19-14
0200619,13,JIN D (EPCJC 01/13°) [S] - EPC N° 01 PROF. JOSE ONAINDIA,RAFAELA 5159,01-01
0200620,13,EPC N° 02 PATRIA GRANDE - JIN B (EPCJC 02/13°),CHASCOMUS 5598,02-02
0200621,13,JIN B (EPCJC 03/13°) - EPC N° 03 EDUARDO LADISLAO HOLMBERG - ESC. DE MUSICA N° 06,AVDA. LARRAZABAL 1556,03-03-06
0200622,13,Sup Inicial V A A Sup Primaria DE13 - EPC N° 04 REPUBLICA DEL BRASIL - JIN B (EPCJC 04/13°) [S],MANUEL ARTIGAS 5951,13-04-04
0200623,13,JINC(EPCJS 05/13°)NIÑOS LATINOAMERICANOS - EPA N° 05 ROBERTO BILLINGHURST - EPC N° 05 ROBERTO BILLINGHURST,ZINNY 1641,05-05-05
0200624,13,EPC N° 06 CARLOS GUIDO Y SPANO - JIN D (EPCJC 06/13°),CNEL. RAMON L. FALCON 4801,06-06
0200625,13,EPC N° 07 RECUERDOS DE PROVINCIA - JIN D (EPCJS 07/13°) - CENOF CENTRO ALBERDI,AVDA. JUAN BAUTISTA ALBERDI 4755,07-07
0200626,13,JINC(EPCJS 08/13)[S]NIÑOS LATINOAMERIC. - EPC N° 08 REINO DE THAILANDIA - CENOF CENTRO HOMERO,SARAVIA 2358,08-08
0200627,13,EPC N° 09 HOMERO MANZI - CENS N° 91,MIRALLA 2666,09-91
0200628,13,EPC N° 10 ANTONIO ZACCAGNINI - JII N° 03/13° JARDIN DEL PARQUE,LACARRA 1135,10-03
0200629,13,EPC N° 11 PONCIANO VIVANCO - JIC N° 01/13°,OLIDEN 2851,11-01
0200630,13,EPC N° 12 PRESB. PROF.V.MONTES CARBALLO - JIN A (EPCJC 12/13°),LARRAYA 2055,12-12
0200631,13,EPC N° 13 PROF. LUZ VIEIRA MENDEZ - JIN B (EPCJS 13/13°) - CENS N° 82,BRAGADO 5350,13-13-82
0200632,13,JIN A (EPCJS 14/13°) [S] - EPC N° 14 JOSE ANTONIO CABRERA,SAN PEDRO 5845,14-14
0200633,13,JIC N° 02/13° - EPC N° 15 REPUBLICA ARGENTINA - CECEP N° 13 MARTIN MALHARRO,AVDA. TTE. GRAL. DELLEPIANE 4750,02-15-13
0200634,13,JINC(EPCJS 16/13°)NIÑOS LATINOAMERICANOS - EPC N° 16 DR. TOMAS A. LE BRETON,GRAL. EUGENIO GARZON 4346,16-16
0200635,13,EPC N° 18 DRA.ELVIRA R. DE DELLEPIANE - JINC(EPCJC 18/13°)NIÑOS LATINOAMERICANOS,SAN PEDRO 4457,18-18
0200636,13,EPC N°19 CAJA NAC. DE AHORRO Y SEGURO - JIN A (EPCJS 19/13°),ALBARIÑO 2062,19-19
0200637,13,EPC N° 20 SARGENTO JUAN BAUTISTA CABRAL - EPA N° 20 SARGENTO JUAN BAUTISTA CABRAL,HOMERO 1157,20-20
0200638,13,JIN D (EPCJC 21/13°) - EPC N° 21 PEDRO INCHAUSPE,JOSE ENRIQUE RODO 4431,21-21
0200639,13,EPA N°22 SANTA MARIA DE LOS BUENOS AIRES - EPC N°22 SANTA MARIA DE LOS BUENOS AIRES,ECHEANDIA 5650,22-22
0200640,13,JIN D (EPCJC 24/13°) - EPC N° 24 SARA DE ELIA DE GIMENEZ - CECIE N° 13 MARTIN LUTHER KING,AVDA. BRUIX 4620,24-24-13
0200641,13,ESC. DE COM.  N° 32 JOSE LEON SUAREZ [S],ACASSUSO 5860,32
0200642,13,Sup Media Region V - LICEO N° 08 ESTEBAN ECHEVERRIA,MURGUIONDO 1568,08
0200643,13,ESC. TEC. N° 08 PAULA ALBARRACIN DE SARMIENTO,PIO COLLIVADINO 436,08
0200644,13,Sup Media Tecnica Region V Oeste - ESC. TEC.  N° 17 BRIG. GRAL. CORNELIO SAAVEDRA - CAIYJ LACARRA,LACARRA 535,17
0200645,13,ESC. TEC. N° 23 CASAL CALVIÑO,LACARRA 621,23
0200647,13,ESC. DE COM. N° 06 AMERICA - EEM N° 01/13° MANUEL MUJICA LAINEZ - CAIYJ CLUB AMERICA,AVDA. TTE. GRAL. DELLEPIANE Y AVDA. ESCALADA,06-01
0200648,13,ESCUELA INF. N° 05/13° - ESCUELA INF. N° 04/13°,BASUALDO 2850,05-04
0200650,13,Esc. de Teatro Niní Marschall,OLIDEN 1245,
0200655,13,ESC. DE COM. N° 32 JOSE LEON SUAREZ [A],ACASSUSO 6138,32
0200657,14,EPC N° 01 RUBEN DARIO - JIN B (EPCJC 01/14°) (SEDE),OTERO 271,01-01
0200658,14,EPC N° 02 GRAL. MARIANO ACHA,ROSETI 1450,02
0200659,14,EPC N° 03 ING. ALVAREZ CONDARCO - JIN C (EPCJC 03/14°) [S],GIRARDOT 1946,03-03
0200660,14,EPC N° 04 GRAL. JUAN ANTONIO LAVALLEJA,14 DE JULIO 546,04
0200661,14,EPC N° 05 ENRIQUE DE VEDIA - JIN C (EPCJS 05/14°) - CECIE N° 24,COMBATIENTES DE MALVINAS 3234,05-05-24
0200662,14,EPC N° 08 CARMEN C. DE MENDEZ CASARIEGO - JIN B (EPCJC 08/14°),AVDA. JORGE NEWBERY 4436,08-08
0200663,14,EPC N° 10 REPUBLICA DEL ECUADOR - CECIE N° 14,ESPINOSA 2547,10-14
0200664,14,EPC N° 11 DR. ENRIQUE MOSCA,CASAFOUST 761,11
0200665,14,EPC N° 12 HERMINIA BRUMANA,FITZ ROY 171,12
0200666,14,EPC N° 13 PROVINCIA DEL NEUQUEN - JII N° 06/14°,ALMTE. FRANCISCO J. SEGUI 2580,13-06
0200667,14,EPC N° 14 DR. LUIS AGOTE - CENS N° 74,AVDA. JORGE NEWBERY 3664,14-74
0200668,14,JIN B (EPCJC 15/14°) - EPC N° 15 PROVINCIA DE MENDOZA - CENOF CENTRO JUAN AGUSTIN GARCIA,JUAN AGUSTIN GARCIA 1511,15-15
0200669,14,EPC N° 16 FRAY JUSTO SANTA MARIA DE ORO - JIN D (EPCJS 16/14°) - EPA N° 16 FRAY JUSTO SANTA MARIA DE ORO,AVDA. ALVAREZ JONTE 1964,16-16-16
0200670,14,EPC N° 17 MONSEÑOR GUSTAVO J. FRANCESCHI,GRAL. ENRIQUE MARTINEZ 1432,17
0200671,14,EPC N° 18 CABILDO DE BUENOS AIRES - EPA N° 18 CABILDO DE BUENOS AIRES,AVDA. FEDERICO LACROZE 3839,18-18
0200672,14,EPC N° 20 REPUBLICA DE HONDURAS - JIN C (EPCJC 20/14°),AVDA. ELCANO 4861,20-20
0200673,14,EPC N° 21 ALTE. SEGUNDO R. STORNI - JIN B (EPCJC 21/14°),MARTINEZ ROSAS 1364,21-21
0200674,14,EPC N° 22 AGRONOMIA - JII N° 04/14,AVDA. DE LOS CONSTITUYENTES 3100,22-04
0200675,14,EPC N° 23 ALFREDO RODOLFO BUFANO - JIN B (EPCJC 23/14°),GRAL. MANUEL A. RODRIGUEZ 2332,23-23
0200676,14,Supervisión Primaria DE 14 - EPC N° 24 FRANCISCO BEIRO - JIN D (EPCJS 24/14°) [S],BOLIVIA 2569/2571,14-24-24
0200677,14,EPC N° 25 CARMEN SONDA DE PANDOLFINI - EPA N° 25 CARMEN SONDA DE PANDOLFINI,AVDA. SAN MARTIN 5021,25-25
0200678,14,JIN D (EPCJC 26/14°) - EPC N° 26 DELFINA DE VEDIA DE MITRE - CENS N° 86,CARACAS 2372,26-26-86
0200679,14,ESC. DE COM.  N° 20 DR. JUAN AGUSTIN GARCIA,NICASIO OROÑO 2131,20
0200680,14,CENS N° 21 - CENS N° 61 - CENS N° 10,BALBOA 210,21-61-10
0200681,14,Sup Inicial X A - JII N° 03/14° EL JARDIN DE OLLEROS,OLLEROS 3621,03
0200682,14,JM N° 01/14° PAULA ALBARRACIN,LEIVA 4274,01
0200683,14,ESC. DE COM. N° 24 DR. DALMACIO VELEZ SARSFIELD,AVDA. DEL CAMPO 1340,24
0200684,14,Sup Media Region IV A Sup Media Tecnica Region IV A UTN - ESC. TEC. N° 32 GRAL. JOSE DE SAN MARTIN - CAIYJ CHACARITA - ESCUELA DE MAESTROS (ANEXO 08),TEODORO GARCIA 3871,32-08
0200685,14,Sup Educacion Especial. Escal C A Centro Cultural Roberto Santoro - ESC. PARA JÓVENES Y ADULTOS CON DISCAPACIDAD MENTAL Y FORMACIÓN INTEGRAL N° 18 C M ESTRADA DE CANO,GIRIBONE 1961,18
0200686,14,ESC. INTEGRAL INTERDISCIPLINARIA N° 14,AVDA. TRIUNVIRATO 3626,14
0200687,14,EEM N° 01/14° FEDERICO GARCIA LORCA - CAIYJ CLUB GARCIA LORCA,AVDA. CHORROARIN 305,01
0200688,14,ESCUELA INF. N° 02/14° H° TORNU,COMBATIENTES DE MALVINAS 3002,02
0200689,14,EEM N° 02/14° ARGENTINOS JUNIORS,BOYACA 2152,02
0200691,9,CFP N° 20,DELGADO 769,20
0200699,14,EPC N° 02 Gral. Mariano Acha (Polid.),CHARLONE 1525/1533,02
0200703,15,JIN A (EPCJC 01/15°) - EPC N° 01 CNEL. JOSE DE OLAVARRIA - ESC. DE MUSICA N° 09,AVDA. TRIUNVIRATO 5101,01-01-09
0200704,15,JIN A (EPCJC 02/15°) [S] - EPC N° 02 JUANA MANUELA GORRITI - EPA N° 02 JUANA MANUELA GORRITI,AVDA. TRIUNVIRATO 4857,02-02-02
0200705,15,EPC N° 03 REPUBLICA DE COSTA RICA - JIN C (EPCJC 03/15°) - CECIE N° 15,MANUELA PEDRAZA 4548,03-03-15
0200706,15,EPC N° 04 PROVINCIA DE BUENOS AIRES,AVDA. ALVAREZ THOMAS 3391,04
0200707,15,EPC N° 08 JORGE ANGEL BOERO,JURAMENTO 4849,08
0200708,15,EPC N° 09 DOMINGUITO - CENS N° 78,ECHEVERRIA 5034,09-78
0200709,15,EPC N° 10 DR. RAMON J. CARCANO,BUCARELLI 1950,10
0200710,15,EPC N° 11 FRAY LUIS BELTRAN - JIN A (EPCJC 11/15°),CAPDEVILA 3156,11-11
0200711,15,EPC N° 12 ESPAÑA - JIN C (EPCJC 12/15°) [S] - PI VALDENEGRO,VALDENEGRO 3525,12-12
0200712,15,EPC N° 13 DR. IGNACIO LUCAS ALBARRACIN,MARIANO ACHA 4452,13
0200713,15,EPC N° 14 DR. VICENTE CARMELO GALLO - JIN C (EPCJC 14/15°),DEHEZA 4728,14-14
0200714,15,JII N° 02/15° JUAN M. COGHLAN - EPC N° 15 MANUEL ANTONIO ACEVEDO,TRONADOR 2861,02-15
0200715,15,EPA N° 16 EJERCITO DE LOS ANDES - EPC N° 16 EJERCITO DE LOS ANDES,AVDA. TRIUNVIRATO 4247,16-16
0200716,15,EPC N° 17 GAUCHOS DE GÜEMES - JIN A (EPCJS 17/15°),JOSE PASCUAL TAMBORINI 5324,17-17
0200717,15,EPC N° 18 JUAN B. TERAN - JIN C (EPCJS 18/15°),ARIAS 4763,18-18
0200718,15,EPC N° 19 NACIONES UNIDAS - JIC N° 01/15° - CAIYJ CLUB SAAVEDRA,ROGELIO YRURTIA 5806,19-01
0200719,15,EPC N° 21 LIC. JUSTO JOSE NUÑEZ,MARIANO ACHA 2250,21
0200720,15,EPC N° 22 FELIX DE AZARA,JOSE PASCUAL TAMBORINI 3948,22
0200721,15,ESCUELA DOMICILIARIA Nº 01 DE 15 - Supervisión Escuela Especial B - Supervisión Escuela Especial C - Delegación Administrativa de Educación Especial Escalafón A y B - Delegación Distrito Administrativo N 15 - Delegación Distrito Administrativo VII (media) - Supervisión Escuela Especial A,DR. PEDRO RIVERA 4151,01-15-15
0200722,15,Sup Primaria DE15 - EPC N° 26 JOSE MARMOL,CARBAJAL 4019,15-26
0200723,15,EPC N° 27 PETRONILA RODRIGUEZ,ANDONAEGUI 1532,27
0200724,15,BACHILLERATO A DISTANCIA ADULTOS 2000,BALLIVIAN 2329,2000
0200726,15,COLEGIO N° 16 GUILLERMO RAWSON - COLEGIO N° 12 RECONQUISTA - LICEO N° 11 CORNELIO SAAVEDRA,AVDA. TRIUNVIRATO 4992,16-12-11
0200727,15,ESC. DE COM. N° 28 ABRAHAM LINCOLN - ESC. DE COM. N° 15 DRA. CECILIA GRIERSON,VALDENEGRO 3523,28-15
0200728,15,EEM N° 05/15° - EEM N° 05/15°,TRONADOR 4136,05-05
0200729,15,"ESC. PARA NIÑOS, NIÑAS Y JÓVENES CON PLURIDISCAPACIDAD MOTORA N° 11 DR. AQUILES GAREISO",QUESADA 4357,11
0200730,15,JII N° 04/15°,BLANCO ENCALADA 4863,04
0200736,13,JM N° 06/13,ZELADA 6240,06
0200737,15,EPC Nº 21 Lic. J.J.Núñez [A: Polidep.],DONADO 2057,21
0200738,15,EPC Nº 08 Jorge A. Boero [A: Polidep.],DONADO 2083,08
0200740,16,Sup Primaria DE16 - EPC N° 01 DR. DELFIN GALLO - EPA N° 01 DR. DELFIN GALLO - JIC N° 03/16° MAFALDA,FERNANDEZ DE ENCISO 4451,16-01-01-03
0200741,16,JIN B (EPCJC 02/16°) JUANA AZURDUY [S] - EPC N° 02 REPUBLICA DE PANAMA - CECIE N° 16,AVDA. SAN MARTIN 6387,02-02-16
0200742,16,EPC N° 03 GRECIA - JII N° 02/16° AIME PAINE - ESEA EN DANZA MASTRAZZI CURSO VOCACIONAL DE DANZA Y EXPRESIÓN CORPORAL INFANTIL N° 03,CONDARCO 3984,03-02-03
0200743,16,EPC N° 04 CNEL. MAYOR I. ALVAREZ THOMAS - JIN B (EPCJC 04/16°) JUANA AZURDUY,TERRADA 3983,04-04
0200744,16,EPC N° 05 GABRIELA MISTRAL - EPA N° 05 GABRIELA MISTRAL,JOSE LEON CABEZON 3446,05-05
0200745,16,EPC N° 06 LUIS PASTEUR - JIN C (EPCJC 06/16°),NAHUEL HUAPI 5740,06-06
0200746,16,EPC N° 07 GRAL. MAXIMO DE ZAMUDIO,JOSE CUBAS 4440,07
0200747,16,EPC N° 08 SAN JUAN BOSCO - JIN A (EPCJS 08/16°),MERCEDES 4966,08-08
0200748,16,EPC N° 09 IRLANDA - JIN C (EPCJC 09/16°),IBERA 5734,09-09
0200749,16,EPC N° 11 CONGRESO DE TUCUMAN - JIN B (EPCJC 11/16°) JUANA AZURDUY,PEDRO MORAN 2899,11-11
0200750,16,EPC N° 12 CARDENAL PACELLI - JIN D (EPCJS 12/16°),AVDA. CRISOLOGO LARRALDE 5934,12-12
0200751,16,EPC N° 13 HILARION MARIA MORENO - JIN D (EPCJS 13/16°),GRAL. JOSE GERVASIO DE ARTIGAS 5645,13-13
0200752,16,EPC N° 14 LEOPOLDO LUGONES - JIC N° 04/16° DR. FLORENCIO ESCARDO,CERETTI 2035,14-04
0200753,16,EPC N° 15 REP. BOLIVARIANA DE VENEZUELA - JIN A (EPCJS 15/16°) [S],OBISPO SAN ALBERTO 3370,15-15
0200754,16,JIN B (EPCJC 16/16°) JUANA AZURDUY - EPC N° 16 RICARDO ROJAS - CENS N° 87,GABRIELA MISTRAL 3376,16-16-87
0200755,16,EPC N°17 GREGORIA MATORRAS DE SAN MARTIN - JIN C (EPCJS 17/16°) [S],VALLEJOS 2555,17-17
0200756,16,EPC N° 18 HELENA LARROQUE DE ROFFO - JIN D (EPCJC 18/16°) - CENS N° 83,MEDEYROS 3555,18-18-83
0200757,16,EPC N° 19 DR. T. SANCHEZ DE BUSTAMANTE,GAVILAN 4246,19
0200758,16,EPC N° 22 REPUBLICA DE NICARAGUA - JIN D (EPCJS 22/16°) [S],BAZURCO 2551,22-22
0200759,16,EPC N° 23 BELISARIO ROLDAN - JIN A (EPCJC 23/16°),FRANCO 2390,23-23
0200760,16,EPC N° 24 EJERCITO ARGENTINO - JIN A (EPCJS 24/16°),AVDA. NAZCA 5168,24-24
0200761,16,JII N° 01/16° PROF. LUIS SIXTO CLARA,CUENCA 5049,01
0200762,16,EEM N° 01/16° RODOLFO WALSH,ARGERICH 5651,01
0200763,16,EEEYFL N° 21 ROSARIO VERA PEÑALOZA,OBISPO SAN ALBERTO 2379,21
0200764,16,"CENS Nº 66 - ESC. BILINGÜE PARA NIÑOS, NIÑAS, JÓVENES Y ADULTOS CON DISCAPACIDAD AUDITIVA Y FORMACIÓN INTEGRAL N° 28  B. AYROLO - ESEA EN DANZA RAMICONE CURSO VOCACIONAL DE FOLKLORE N° 15",AVDA. LINCOLN 4325,66-28-15
0200765,16,ESC. INTEGRAL INTERDISCIPLINARIA N° 16 GRAL. ING. MOSCONI,AVDA. GRAL. MOSCONI 2641,16
0200766,16,Sup Inicial VIII A - EEM N° 02/16°,JOSE CUBAS 2410,02
0200768,17,EPC N° 01 DR. ANTONIO DELLEPIANE - JINA(EPCJC 01/17°)ALICIA MOREAU DE JUSTO - ESC. DE MUSICA N° 03,BAIGORRIA 3169,01-01-03
0200769,17,EPC N° 02 PROF. JUAN JOSE MILLAN - JIN E (EPCJS 02/17°) JUANA MANSO,HELGUERA 3228,02-02
0200770,17,EPC N° 03 POLICIA FEDERAL ARGENTINA - JINA(EPCJC 03/17°)ALICIA MOREAU DE JUSTO,ARGERICH 2849,03-03
0200771,17,EPA N° 04 RAFAEL RUIZ DE LOS LLANOS - EPC N° 04 RAFAEL RUIZ DE LOS LLANOS - JIN D (EPCJC 04/17°) VICTORIA OCAMPO [S],AVDA. FRANCISCO BEIRO 4548,04-04-04
0200772,17,EPC N°05 CAP. JUAN DE SAN MARTIN Y GOMEZ - JIN E (EPCJC 05/17°) JUANA MANSO,NOGOYA 2557,05-05
0200773,17,JIN C (EPCJS 06/17°) LOLA MORA - EPC N° 06 ESTADO DE ISRAEL,CNEL. PEDRO CALDERON DE LA BARCA 3073,06-06
0200774,17,EPC N° 07 REPUBLICA DE MEXICO - EPA N° 07 REPUBLICA DE MEXICO - JINA(EPCJC 07/17°)ALICIA MOREAU DE JUSTO,JUAN AGUSTIN GARCIA 2755,07-07-07
0200775,17,EPC N° 08 ALTE. MANUEL BLANCO ENCALADA - JIN E (EPCJS 08/17° JUANA MANSO),EMILIO LAMARCA 3379,08-08
0200776,17,EPC N° 09 BENITO JUAREZ - JIN D (EPCJS 09/17°) VICTORIA OCAMPO,BENITO JUAREZ 2702,09-09
0200777,17,EPC N° 10 JOSE ERNESTO GALLONI - JINA(EPCJS 10/17°)ALICIA M.DE JUSTO) [S] - ESEA EN DANZA RAMICONE CURSO VOCACIONAL DE FOLKLORE N° 18,HELGUERA 2435,10-10-18
0200779,17,JIC N° 01/17° PABLO NERUDA - CENS N° 07 - EPC N° 14 SIMON BOLIVAR,TINOGASTA 5768,01-07-14
0200780,17,Sup Media Region VII A Centro Cultural Devoto - EPC N° 15 ANTONIO DEVOTO - JIC N° 02/17° ANTONIO BERNI,AV SALVADOR M. DEL CARRIL 4172,15-02
0200781,17,EPA N° 16 RDO. PADRE AGUSTIN P. NORES - JIN C (EPCJS 16/17°) LOLA MORA [S] - EPC N° 16 RDO. PADRE AGUSTIN P. NORES,CNEL. RAMON LISTA 5256,16-16-16
0200782,17,EPC N° 17 RODOLFO RIVAROLA - JIN E (EPCJC 17/17°) JUANA MANSO [S],HELGUERA 3341,17-17
0200783,17,"EPC N° 18 PROV. DE TIERRA DEL FUEGO, ANTARTIDA E IS. DEL ATLANT. SUR - JINA(EPCJS 18/17°) ALICIA M. DE JUSTO",JULIO S. DANTAS 3260,18-18
0200784,17,Sup Inicial VIII B - EPC N° 19 BARTOLINA SISA - JII N° 03/17° EL JARDIN DEL BOULEVARD,AVDA. SALVADOR MARIA DEL CARRIL 4957,19-03
0200785,17,EPC N° 20 PEDRO MEDRANO,NUEVA YORK 4713,20
0200786,17,EPC N° 21 ROMPEHIELOS GRAL. SAN MARTIN - JINA(EPCJS 21/17°)ALICIA MOREAU DE JUSTO,SANTO TOME 2836,21-21
0200787,17,EPC N° 22 PROF. PEDRO LUIS COMI - JIN D (EPCJS 22/17°) VICTORIA OCAMPO,TINOGASTA 5046,22-22
0200788,17,EPC N° 23 ABEL AYERZA - CECIE N° 17,AVDA. SALVADOR MARIA DEL CARRIL 3650,23-17
0200789,17,EPC N° 24 PRES. DR. ROBERTO MARIO ORTIZ - JIN D (EPCJS 24/17°) VICTORIA OCAMPO,BAHIA BLANCA 2535,24-24
0200790,17,COLEGIO N° 19 LUIS PASTEUR,NAVARRO 4344,19
0200791,17,ESC. DE COM. N° 11 DR. JOSE PERALTA,PEDRO LOZANO 4250,11
0200792,17,ESC. TEC. N° 16 ESPAÑA,CONCORDIA 3555,16
0200793,17,ESC. TEC. N° 24 DEFENSA DE BUENOS AIRES,RICARDO GUTIERREZ 3246,24
0200794,17,Sup. Media Region 7 - EEM N° 03/17° ANTONIO DEVOTO - CENS N° 65 - CAIYJ CLUB DEVOTO,MERCEDES 4002,7-03-65
